record_index,split
1860,train
353,train
1333,train
905,train
1289,train
1273,train
938,train
1731,train
65,train
1323,train
56,train
1292,train
1118,train
584,train
374,train
275,train
746,train
128,train
1646,train
1852,train
674,train
1664,train
1981,train
1083,train
1922,train
99,train
1179,train
964,train
792,train
29,train
628,train
944,train
572,train
907,train
1080,train
450,train
1609,train
1290,train
1078,train
254,train
124,train
1927,train
251,train
585,train
1568,train
824,train
507,train
889,train
70,train
1608,train
1532,train
247,train
1450,train
212,train
909,train
1741,train
1244,train
1696,train
1182,train
361,train
1473,train
678,train
1621,train
1089,train
1987,train
1847,train
987,train
1512,train
111,train
1487,train
1453,train
383,train
1395,train
1054,train
755,train
324,train
1623,train
787,train
368,train
1819,train
69,train
857,train
1483,train
1555,train
1691,train
1474,train
1798,train
478,train
281,train
1647,train
1556,train
1729,train
210,train
297,train
1884,train
1833,train
651,train
1233,train
1502,train
1931,train
916,train
993,train
429,train
1370,train
239,train
879,train
620,train
256,train
611,train
544,train
771,train
1419,train
1041,train
1789,train
759,train
382,train
1103,train
973,train
352,train
1605,train
1825,train
1036,train
1107,train
494,train
393,train
1546,train
464,train
886,train
1193,train
366,train
1893,train
1873,train
744,train
529,train
802,train
1223,train
1978,train
1905,train
1699,train
1544,train
1313,train
306,train
1666,train
862,train
1566,train
530,train
654,train
1259,train
233,train
120,train
1697,train
949,train
617,train
1178,train
307,train
135,train
554,train
1673,train
583,train
1640,train
670,train
834,train
109,train
1164,train
1959,train
1464,train
1728,train
1242,train
211,train
1767,train
1120,train
679,train
1950,train
1838,train
411,train
1324,train
782,train
1345,train
874,train
1652,train
1278,train
785,train
1818,train
1198,train
807,train
712,train
1990,train
1659,train
1190,train
1225,train
602,train
270,train
1384,train
231,train
49,train
462,train
1105,train
855,train
693,train
1551,train
1872,train
526,train
173,train
720,train
414,train
237,train
1472,train
1335,train
1063,train
23,train
1766,train
63,train
289,train
188,train
701,train
1814,train
1137,train
354,train
416,train
1245,train
930,train
196,train
579,train
1134,train
1813,train
1934,train
433,train
100,train
1654,train
394,train
1938,train
220,train
1675,train
1497,train
1784,train
344,train
1027,train
888,train
1350,train
552,train
743,train
1541,train
538,train
906,train
